,year,region,deaths
752,1982,Inverclyde,11
753,1983,Inverclyde,9
754,1984,Inverclyde,11
755,1985,Inverclyde,11
756,1986,Inverclyde,5
757,1987,Inverclyde,8
758,1988,Inverclyde,9
759,1989,Inverclyde,6
760,1990,Inverclyde,21
761,1991,Inverclyde,12
762,1992,Inverclyde,9
763,1993,Inverclyde,7
764,1994,Inverclyde,20
765,1995,Inverclyde,21
766,1996,Inverclyde,30
767,1997,Inverclyde,26
768,1998,Inverclyde,35
769,1999,Inverclyde,37
770,2000,Inverclyde,29
771,2001,Inverclyde,52
772,2002,Inverclyde,48
773,2003,Inverclyde,39
774,2004,Inverclyde,32
775,2005,Inverclyde,28
776,2006,Inverclyde,41
777,2007,Inverclyde,38
778,2008,Inverclyde,41
779,2009,Inverclyde,30
780,2010,Inverclyde,33
781,2011,Inverclyde,30
782,2012,Inverclyde,22
783,2013,Inverclyde,18
784,2014,Inverclyde,27
785,2015,Inverclyde,30
786,2016,Inverclyde,27
787,2017,Inverclyde,24
788,2018,Inverclyde,22
789,2019,Inverclyde,31
790,2020,Inverclyde,32
791,2021,Inverclyde,26
792,2022,Inverclyde,28
793,1979,Midlothian,2
794,1980,Midlothian,1
795,1981,Midlothian,4
796,1982,Midlothian,5
797,1983,Midlothian,6
798,1984,Midlothian,6
799,1985,Midlothian,5
800,1986,Midlothian,5
801,1987,Midlothian,2
802,1988,Midlothian,6
803,1989,Midlothian,7
804,1990,Midlothian,2
805,1991,Midlothian,4
806,1992,Midlothian,7
807,1993,Midlothian,5
808,1994,Midlothian,2
809,1995,Midlothian,9
810,1996,Midlothian,9
811,1997,Midlothian,11
812,1998,Midlothian,12
813,1999,Midlothian,13
814,2000,Midlothian,14
815,2001,Midlothian,11
816,2002,Midlothian,18
817,2003,Midlothian,15
818,2004,Midlothian,20
819,2005,Midlothian,19
820,2006,Midlothian,12
821,2007,Midlothian,11
822,2008,Midlothian,13
823,2009,Midlothian,6
824,2010,Midlothian,11
825,2011,Midlothian,13
826,2012,Midlothian,14
827,2013,Midlothian,11
828,2014,Midlothian,8
829,2015,Midlothian,14
830,2016,Midlothian,16
831,2017,Midlothian,15
832,2018,Midlothian,23
833,2019,Midlothian,16
834,2020,Midlothian,18
835,2021,Midlothian,18
836,2022,Midlothian,17
837,1979,Moray,7
838,1980,Moray,4
839,1981,Moray,2
840,1982,Moray,1
841,1983,Moray,6
842,1984,Moray,7
843,1985,Moray,10
844,1986,Moray,7
845,1987,Moray,5
846,1988,Moray,5
847,1989,Moray,7
848,1990,Moray,9
849,1991,Moray,8
850,1992,Moray,4
851,1993,Moray,5
852,1994,Moray,8
853,1995,Moray,11
854,1996,Moray,14
855,1997,Moray,17
856,1998,Moray,11
857,1999,Moray,14
858,2000,Moray,16
859,2001,Moray,18
860,2002,Moray,13
861,2003,Moray,22
862,2004,Moray,22
863,2005,Moray,14
864,2006,Moray,20
865,2007,Moray,17
866,2008,Moray,22
867,2009,Moray,22
868,2010,Moray,15
869,2011,Moray,14
870,2012,Moray,19
871,2013,Moray,19
872,2014,Moray,11
873,2015,Moray,14
874,2016,Moray,20
875,2017,Moray,18
876,2018,Moray,16
877,2019,Moray,15
878,2020,Moray,11
879,2021,Moray,10
880,2022,Moray,13
881,1979,Na h-Eileanan Siar,2
882,1980,Na h-Eileanan Siar,2
883,1981,Na h-Eileanan Siar,2
884,1982,Na h-Eileanan Siar,3
885,1983,Na h-Eileanan Siar,0
886,1984,Na h-Eileanan Siar,3
887,1985,Na h-Eileanan Siar,5
888,1986,Na h-Eileanan Siar,2
889,1987,Na h-Eileanan Siar,2
890,1988,Na h-Eileanan Siar,2
891,1989,Na h-Eileanan Siar,5
892,1990,Na h-Eileanan Siar,1
893,1991,Na h-Eileanan Siar,0
894,1992,Na h-Eileanan Siar,2
895,1993,Na h-Eileanan Siar,3
896,1994,Na h-Eileanan Siar,3
897,1995,Na h-Eileanan Siar,8
898,1996,Na h-Eileanan Siar,6
899,1997,Na h-Eileanan Siar,3
900,1998,Na h-Eileanan Siar,5
901,1999,Na h-Eileanan Siar,8
902,2000,Na h-Eileanan Siar,3
903,2001,Na h-Eileanan Siar,3
904,2002,Na h-Eileanan Siar,9
905,2003,Na h-Eileanan Siar,13
906,2004,Na h-Eileanan Siar,10
907,2005,Na h-Eileanan Siar,12
908,2006,Na h-Eileanan Siar,10
909,2007,Na h-Eileanan Siar,4
910,2008,Na h-Eileanan Siar,8
911,2009,Na h-Eileanan Siar,9
912,2010,Na h-Eileanan Siar,6
913,2011,Na h-Eileanan Siar,7
914,2012,Na h-Eileanan Siar,8
915,2013,Na h-Eileanan Siar,8
916,2014,Na h-Eileanan Siar,17
917,2015,Na h-Eileanan Siar,11
918,2016,Na h-Eileanan Siar,8
919,2017,Na h-Eileanan Siar,8
920,2018,Na h-Eileanan Siar,13
921,2019,Na h-Eileanan Siar,5
922,2020,Na h-Eileanan Siar,6
923,2021,Na h-Eileanan Siar,9
924,2022,Na h-Eileanan Siar,16
925,1979,North Ayrshire,9
926,1980,North Ayrshire,5
927,1981,North Ayrshire,2
928,1982,North Ayrshire,5
929,1983,North Ayrshire,7
930,1984,North Ayrshire,5
931,1985,North Ayrshire,9
932,1986,North Ayrshire,12
933,1987,North Ayrshire,7
934,1988,North Ayrshire,16
935,1989,North Ayrshire,13
936,1990,North Ayrshire,11
937,1991,North Ayrshire,7
938,1992,North Ayrshire,8
939,1993,North Ayrshire,16
940,1994,North Ayrshire,9
941,1995,North Ayrshire,8
942,1996,North Ayrshire,26
943,1997,North Ayrshire,43
944,1998,North Ayrshire,19
945,1999,North Ayrshire,23
946,2000,North Ayrshire,26
947,2001,North Ayrshire,29
948,2002,North Ayrshire,38
949,2003,North Ayrshire,35
950,2004,North Ayrshire,40
951,2005,North Ayrshire,33
952,2006,North Ayrshire,42
953,2007,North Ayrshire,24
954,2008,North Ayrshire,37
955,2009,North Ayrshire,44
956,2010,North Ayrshire,31
957,2011,North Ayrshire,27
958,2012,North Ayrshire,22
959,2013,North Ayrshire,21
960,2014,North Ayrshire,29
961,2015,North Ayrshire,30
962,2016,North Ayrshire,30
963,2017,North Ayrshire,35
964,2018,North Ayrshire,32
965,2019,North Ayrshire,50
966,2020,North Ayrshire,44
967,2021,North Ayrshire,37
968,2022,North Ayrshire,29
969,1979,North Lanarkshire,23
970,1980,North Lanarkshire,16
971,1981,North Lanarkshire,13
972,1982,North Lanarkshire,15
973,1983,North Lanarkshire,23
974,1984,North Lanarkshire,19
975,1985,North Lanarkshire,18
976,1986,North Lanarkshire,25
977,1987,North Lanarkshire,17
978,1988,North Lanarkshire,37
979,1989,North Lanarkshire,15
980,1990,North Lanarkshire,17
981,1991,North Lanarkshire,23
982,1992,North Lanarkshire,33
983,1993,North Lanarkshire,27
984,1994,North Lanarkshire,38
985,1995,North Lanarkshire,30
986,1996,North Lanarkshire,35
987,1997,North Lanarkshire,52
988,1998,North Lanarkshire,67
989,1999,North Lanarkshire,77
990,2000,North Lanarkshire,77
991,2001,North Lanarkshire,77
992,2002,North Lanarkshire,95
993,2003,North Lanarkshire,102
994,2004,North Lanarkshire,86
995,2005,North Lanarkshire,102
996,2006,North Lanarkshire,121
997,2007,North Lanarkshire,115
998,2008,North Lanarkshire,105
999,2009,North Lanarkshire,102
1000,2010,North Lanarkshire,100
1001,2011,North Lanarkshire,97
1002,2012,North Lanarkshire,92
1003,2013,North Lanarkshire,89
1004,2014,North Lanarkshire,93
1005,2015,North Lanarkshire,98
1006,2016,North Lanarkshire,112
1007,2017,North Lanarkshire,107
1008,2018,North Lanarkshire,97
1009,2019,North Lanarkshire,91
1010,2020,North Lanarkshire,101
1011,2021,North Lanarkshire,102
1012,2022,North Lanarkshire,107
1013,1979,Orkney Islands,3
1014,1980,Orkney Islands,2
1015,1981,Orkney Islands,1
1016,1982,Orkney Islands,1
1017,1983,Orkney Islands,3
1018,1984,Orkney Islands,1
1019,1985,Orkney Islands,1
1020,1986,Orkney Islands,1
1021,1987,Orkney Islands,2
1022,1988,Orkney Islands,1
1023,1989,Orkney Islands,2
1024,1990,Orkney Islands,1
1025,1991,Orkney Islands,0
1026,1992,Orkney Islands,2
1027,1993,Orkney Islands,2
1028,1994,Orkney Islands,2
1029,1995,Orkney Islands,3
1030,1996,Orkney Islands,3
1031,1997,Orkney Islands,3
1032,1998,Orkney Islands,2
1033,1999,Orkney Islands,2
1034,2000,Orkney Islands,5
1035,2001,Orkney Islands,8
1036,2002,Orkney Islands,4
1037,2003,Orkney Islands,7
1038,2004,Orkney Islands,7
1039,2005,Orkney Islands,3
1040,2006,Orkney Islands,2
1041,2007,Orkney Islands,6
1042,2008,Orkney Islands,5
1043,2009,Orkney Islands,7
1044,2010,Orkney Islands,5
1045,2011,Orkney Islands,4
1046,2012,Orkney Islands,4
1047,2013,Orkney Islands,8
1048,2014,Orkney Islands,3
1049,2015,Orkney Islands,4
1050,2016,Orkney Islands,9
1051,2017,Orkney Islands,2
1052,2018,Orkney Islands,5
1053,2019,Orkney Islands,4
1054,2020,Orkney Islands,3
1055,2021,Orkney Islands,8
1056,2022,Orkney Islands,4
1057,1979,Perth and Kinross,8
1058,1980,Perth and Kinross,5
1059,1981,Perth and Kinross,1
1060,1982,Perth and Kinross,5
1061,1983,Perth and Kinross,6
1062,1984,Perth and Kinross,5
1063,1985,Perth and Kinross,8
1064,1986,Perth and Kinross,9
1065,1987,Perth and Kinross,9
1066,1988,Perth and Kinross,10
1067,1989,Perth and Kinross,11
1068,1990,Perth and Kinross,10
1069,1991,Perth and Kinross,12
1070,1992,Perth and Kinross,7
1071,1993,Perth and Kinross,7
1072,1994,Perth and Kinross,19
1073,1995,Perth and Kinross,18
1074,1996,Perth and Kinross,15
1075,1997,Perth and Kinross,16
1076,1998,Perth and Kinross,25
1077,1999,Perth and Kinross,22
1078,2000,Perth and Kinross,15
1079,2001,Perth and Kinross,21
1080,2002,Perth and Kinross,21
1081,2003,Perth and Kinross,27
1082,2004,Perth and Kinross,32
1083,2005,Perth and Kinross,20
1084,2006,Perth and Kinross,27
1085,2007,Perth and Kinross,25
1086,2008,Perth and Kinross,25
1087,2009,Perth and Kinross,30
1088,2010,Perth and Kinross,36
1089,2011,Perth and Kinross,30
1090,2012,Perth and Kinross,32
1091,2013,Perth and Kinross,16
1092,2014,Perth and Kinross,26
1093,2015,Perth and Kinross,28
1094,2016,Perth and Kinross,20
1095,2017,Perth and Kinross,17
1096,2018,Perth and Kinross,30
1097,2019,Perth and Kinross,23
1098,2020,Perth and Kinross,25
1099,2021,Perth and Kinross,30
1100,2022,Perth and Kinross,32
1101,1979,Renfrewshire,14
1102,1980,Renfrewshire,23
1103,1981,Renfrewshire,12
1104,1982,Renfrewshire,14
1105,1983,Renfrewshire,10
1106,1984,Renfrewshire,11
1107,1985,Renfrewshire,12
1108,1986,Renfrewshire,12
1109,1987,Renfrewshire,18
1110,1988,Renfrewshire,11
1111,1989,Renfrewshire,12
1112,1990,Renfrewshire,14
1113,1991,Renfrewshire,14
1114,1992,Renfrewshire,23
1115,1993,Renfrewshire,21
1116,1994,Renfrewshire,26
1117,1995,Renfrewshire,27
1118,1996,Renfrewshire,44
1119,1997,Renfrewshire,61
1120,1998,Renfrewshire,51
1121,1999,Renfrewshire,40
1122,2000,Renfrewshire,77
1123,2001,Renfrewshire,57
1124,2002,Renfrewshire,60
1125,2003,Renfrewshire,58
1126,2004,Renfrewshire,56
1127,2005,Renfrewshire,87
1128,2006,Renfrewshire,63
1129,2007,Renfrewshire,42
1130,2008,Renfrewshire,56
1131,2009,Renfrewshire,42
1132,2010,Renfrewshire,44
1133,2011,Renfrewshire,40
1134,2012,Renfrewshire,47
1135,2013,Renfrewshire,36
1136,2014,Renfrewshire,44
1137,2015,Renfrewshire,37
1138,2016,Renfrewshire,40
1139,2017,Renfrewshire,44
1140,2018,Renfrewshire,50
1141,2019,Renfrewshire,36
1142,2020,Renfrewshire,44
1143,2021,Renfrewshire,53
1144,2022,Renfrewshire,42
1145,1979,Scottish Borders,1
1146,1980,Scottish Borders,1
1147,1981,Scottish Borders,3
1148,1982,Scottish Borders,1
1149,1983,Scottish Borders,4
1150,1984,Scottish Borders,3
1151,1985,Scottish Borders,2
1152,1986,Scottish Borders,2
1153,1987,Scottish Borders,2
1154,1988,Scottish Borders,5
1155,1989,Scottish Borders,4
1156,1990,Scottish Borders,6
1157,1991,Scottish Borders,7
1158,1992,Scottish Borders,5
1159,1993,Scottish Borders,4
1160,1994,Scottish Borders,8
1161,1995,Scottish Borders,7
1162,1996,Scottish Borders,6
1163,1997,Scottish Borders,6
1164,1998,Scottish Borders,9
1165,1999,Scottish Borders,9
1166,2000,Scottish Borders,8
1167,2001,Scottish Borders,13
1168,2002,Scottish Borders,15
1169,2003,Scottish Borders,12
1170,2004,Scottish Borders,17
1171,2005,Scottish Borders,11
1172,2006,Scottish Borders,6
1173,2007,Scottish Borders,22
1174,2008,Scottish Borders,10
1175,2009,Scottish Borders,11
1176,2010,Scottish Borders,21
1177,2011,Scottish Borders,15
1178,2012,Scottish Borders,15
1179,2013,Scottish Borders,14
1180,2014,Scottish Borders,21
1181,2015,Scottish Borders,17
1182,2016,Scottish Borders,16
1183,2017,Scottish Borders,12
1184,2018,Scottish Borders,18
1185,2019,Scottish Borders,15
1186,2020,Scottish Borders,15
1187,2021,Scottish Borders,21
1188,2022,Scottish Borders,21
1189,1979,Shetland Islands,0
1190,1980,Shetland Islands,2
1191,1981,Shetland Islands,1
1192,1982,Shetland Islands,1
1193,1983,Shetland Islands,0
1194,1984,Shetland Islands,0
1195,1985,Shetland Islands,3
1196,1986,Shetland Islands,0
1197,1987,Shetland Islands,1
1198,1988,Shetland Islands,2
1199,1989,Shetland Islands,2
1200,1990,Shetland Islands,5
1201,1991,Shetland Islands,6
1202,1992,Shetland Islands,6
1203,1993,Shetland Islands,1
1204,1994,Shetland Islands,3
1205,1995,Shetland Islands,1
1206,1996,Shetland Islands,2
1207,1997,Shetland Islands,4
1208,1998,Shetland Islands,3
1209,1999,Shetland Islands,1
1210,2000,Shetland Islands,1
1211,2001,Shetland Islands,5
1212,2002,Shetland Islands,1
1213,2003,Shetland Islands,2
1214,2004,Shetland Islands,6
1215,2005,Shetland Islands,6
1216,2006,Shetland Islands,6
1217,2007,Shetland Islands,6
1218,2008,Shetland Islands,3
1219,2009,Shetland Islands,2
1220,2010,Shetland Islands,9
1221,2011,Shetland Islands,4
1222,2012,Shetland Islands,0
1223,2013,Shetland Islands,1
1224,2014,Shetland Islands,3
1225,2015,Shetland Islands,2
1226,2016,Shetland Islands,3
1227,2017,Shetland Islands,1
1228,2018,Shetland Islands,5
1229,2019,Shetland Islands,3
1230,2020,Shetland Islands,0
1231,2021,Shetland Islands,2
1232,2022,Shetland Islands,6
1233,1979,South Ayrshire,3
1234,1980,South Ayrshire,8
1235,1981,South Ayrshire,6
1236,1982,South Ayrshire,3
1237,1983,South Ayrshire,4
1238,1984,South Ayrshire,5
1239,1985,South Ayrshire,8
1240,1986,South Ayrshire,2
1241,1987,South Ayrshire,7
1242,1988,South Ayrshire,8
1243,1989,South Ayrshire,8
1244,1990,South Ayrshire,13
1245,1991,South Ayrshire,12
1246,1992,South Ayrshire,9
1247,1993,South Ayrshire,14
1248,1994,South Ayrshire,10
1249,1995,South Ayrshire,10
1250,1996,South Ayrshire,12
1251,1997,South Ayrshire,27
1252,1998,South Ayrshire,23
1253,1999,South Ayrshire,18
1254,2000,South Ayrshire,17
1255,2001,South Ayrshire,23
1256,2002,South Ayrshire,24
1257,2003,South Ayrshire,33
1258,2004,South Ayrshire,27
1259,2005,South Ayrshire,20
1260,2006,South Ayrshire,30
1261,2007,South Ayrshire,20
1262,2008,South Ayrshire,29
1263,2009,South Ayrshire,18
1264,2010,South Ayrshire,28
1265,2011,South Ayrshire,19
1266,2012,South Ayrshire,24
1267,2013,South Ayrshire,15
1268,2014,South Ayrshire,26
1269,2015,South Ayrshire,18
1270,2016,South Ayrshire,10
1271,2017,South Ayrshire,17
1272,2018,South Ayrshire,23
1273,2019,South Ayrshire,27
1274,2020,South Ayrshire,20
1275,2021,South Ayrshire,24
1276,2022,South Ayrshire,29
1277,1979,South Lanarkshire,18
1278,1980,South Lanarkshire,12
1279,1981,South Lanarkshire,19
1280,1982,South Lanarkshire,22
1281,1983,South Lanarkshire,17
1282,1984,South Lanarkshire,14
1283,1985,South Lanarkshire,24
1284,1986,South Lanarkshire,11
1285,1987,South Lanarkshire,19
1286,1988,South Lanarkshire,23
1287,1989,South Lanarkshire,15
1288,1990,South Lanarkshire,17
1289,1991,South Lanarkshire,23
1290,1992,South Lanarkshire,22
1291,1993,South Lanarkshire,23
1292,1994,South Lanarkshire,27
1293,1995,South Lanarkshire,28
1294,1996,South Lanarkshire,39
1295,1997,South Lanarkshire,39
1296,1998,South Lanarkshire,60
1297,1999,South Lanarkshire,62
1298,2000,South Lanarkshire,56
1299,2001,South Lanarkshire,56
1300,2002,South Lanarkshire,78
1301,2003,South Lanarkshire,74
1302,2004,South Lanarkshire,94
1303,2005,South Lanarkshire,91
1304,2006,South Lanarkshire,81
1305,2007,South Lanarkshire,71
1306,2008,South Lanarkshire,77
1307,2009,South Lanarkshire,68
1308,2010,South Lanarkshire,65
1309,2011,South Lanarkshire,76
1310,2012,South Lanarkshire,67
1311,2013,South Lanarkshire,56
1312,2014,South Lanarkshire,73
1313,2015,South Lanarkshire,69
1314,2016,South Lanarkshire,85
1315,2017,South Lanarkshire,69
1316,2018,South Lanarkshire,73
1317,2019,South Lanarkshire,46
1318,2020,South Lanarkshire,92
1319,2021,South Lanarkshire,77
1320,2022,South Lanarkshire,93
1321,1979,Stirling,3
1322,1980,Stirling,0
1323,1981,Stirling,3
1324,1982,Stirling,2
1325,1983,Stirling,4
1326,1984,Stirling,2
1327,1985,Stirling,5
1328,1986,Stirling,5
1329,1987,Stirling,9
1330,1988,Stirling,6
1331,1989,Stirling,2
1332,1990,Stirling,5
1333,1991,Stirling,8
1334,1992,Stirling,3
1335,1993,Stirling,10
1336,1994,Stirling,11
1337,1995,Stirling,8
1338,1996,Stirling,10
1339,1997,Stirling,19
1340,1998,Stirling,11
1341,1999,Stirling,11
1342,2000,Stirling,14
1343,2001,Stirling,16
1344,2002,Stirling,16
1345,2003,Stirling,20
1346,2004,Stirling,13
1347,2005,Stirling,16
1348,2006,Stirling,16
1349,2007,Stirling,12
1350,2008,Stirling,23
1351,2009,Stirling,19
1352,2010,Stirling,17
1353,2011,Stirling,13
1354,2012,Stirling,13
1355,2013,Stirling,14
1356,2014,Stirling,15
1357,2015,Stirling,18
1358,2016,Stirling,14
1359,2017,Stirling,13
1360,2018,Stirling,13
1361,2019,Stirling,16
1362,2020,Stirling,21
1363,2021,Stirling,13
1364,2022,Stirling,17
1365,1979,West Dunbartonshire,6
1366,1980,West Dunbartonshire,9
1367,1981,West Dunbartonshire,6
1368,1982,West Dunbartonshire,6
1369,1983,West Dunbartonshire,7
1370,1984,West Dunbartonshire,7
1371,1985,West Dunbartonshire,12
1372,1986,West Dunbartonshire,6
1373,1987,West Dunbartonshire,9
1374,1988,West Dunbartonshire,11
1375,1989,West Dunbartonshire,17
1376,1990,West Dunbartonshire,8
1377,1991,West Dunbartonshire,16
1378,1992,West Dunbartonshire,6
1379,1993,West Dunbartonshire,9
1380,1994,West Dunbartonshire,15
1381,1995,West Dunbartonshire,13
1382,1996,West Dunbartonshire,19
1383,1997,West Dunbartonshire,22
1384,1998,West Dunbartonshire,18
1385,1999,West Dunbartonshire,22
1386,2000,West Dunbartonshire,23
1387,2001,West Dunbartonshire,27
1388,2002,West Dunbartonshire,43
1389,2003,West Dunbartonshire,39
1390,2004,West Dunbartonshire,37
1391,2005,West Dunbartonshire,38
1392,2006,West Dunbartonshire,43
1393,2007,West Dunbartonshire,37
1394,2008,West Dunbartonshire,43
1395,2009,West Dunbartonshire,24
1396,2010,West Dunbartonshire,31
1397,2011,West Dunbartonshire,32
1398,2012,West Dunbartonshire,23
1399,2013,West Dunbartonshire,23
1400,2014,West Dunbartonshire,24
1401,2015,West Dunbartonshire,20
1402,2016,West Dunbartonshire,28
1403,2017,West Dunbartonshire,26
1404,2018,West Dunbartonshire,34
1405,2019,West Dunbartonshire,18
1406,2020,West Dunbartonshire,22
1407,2021,West Dunbartonshire,40
1408,2022,West Dunbartonshire,21
1409,1979,West Lothian,4
1410,1980,West Lothian,8
1411,1981,West Lothian,5
1412,1982,West Lothian,6
1413,1983,West Lothian,2
1414,1984,West Lothian,5
1415,1985,West Lothian,8
1416,1986,West Lothian,2
1417,1987,West Lothian,10
1418,1988,West Lothian,9
1419,1989,West Lothian,9
1420,1990,West Lothian,10
1421,1991,West Lothian,11
1422,1992,West Lothian,8
1423,1993,West Lothian,8
1424,1994,West Lothian,11
1425,1995,West Lothian,12
1426,1996,West Lothian,20
1427,1997,West Lothian,30
1428,1998,West Lothian,29
1429,1999,West Lothian,28
1430,2000,West Lothian,23
1431,2001,West Lothian,29
1432,2002,West Lothian,30
1433,2003,West Lothian,40
1434,2004,West Lothian,32
1435,2005,West Lothian,37
1436,2006,West Lothian,26
1437,2007,West Lothian,30
1438,2008,West Lothian,30
1439,2009,West Lothian,19
1440,2010,West Lothian,26
1441,2011,West Lothian,29
1442,2012,West Lothian,25
1443,2013,West Lothian,37
1444,2014,West Lothian,31
1445,2015,West Lothian,25
1446,2016,West Lothian,28
1447,2017,West Lothian,38
1448,2018,West Lothian,35
1449,2019,West Lothian,28
1450,2020,West Lothian,45
1451,2021,West Lothian,40
1452,2022,West Lothian,24
